country,year,registrations,country_code,charging_points,population_millions,charging_points_per_100k,ev_share_of_market
AL,2019,42862,,,,0.0,0.00010989030597981707
AL,2020,48703,,,,0.0,0.0001248655585865109
AL,2021,59071,,,,0.0,0.00015144720882212154
AL,2022,50945,,,,0.0,0.0001306136353446358
AL,2023,69129,,,,0.0,0.00017723407591990046
AL,2024,88046,,,,0.0,0.00022573379404365108
AU,2013,322262,,,,0.0,0.0008262206566578276
AU,2014,306959,,,,0.0,0.0007869865716312506
AU,2015,313744,,,,0.0,0.0008043820670834708
AU,2016,338141,,,,0.0,0.0008669315000308273
AU,2017,367046,,,,0.0,0.0009410386180922013
AU,2018,357226,,,,0.0,0.0009158619393389513
AU,2019,355110,,,,0.0,0.0009104369034691063
AU,2020,298379,,,,0.0,0.0007649890254293275
AU,2021,329765,,,,0.0,0.0008454569724099289
AU,2022,303341,,,,0.0,0.0007777106832677823
AU,2023,354357,,,,0.0,0.0009085063495891473
AU,2024,379429,,,,0.0,0.0009727863587237182
AU,2025,457493,,,,0.0,0.0011729281357291878
BE,2013,496702,BE,1.0,11.7,0.008547008547008548,0.0012734528197654589
BE,2014,497204,BE,1.0,11.7,0.008547008547008548,0.0012747398556854314
BE,2015,518489,BE,1.0,11.7,0.008547008547008548,0.001329310691455587
BE,2016,565196,BE,1.0,11.7,0.008547008547008548,0.001449058872161091
BE,2017,580701,BE,1.0,11.7,0.008547008547008548,0.0014888108481355454
BE,2018,586009,BE,1.0,11.7,0.008547008547008548,0.0015024195865084833
BE,2019,601905,BE,1.0,11.7,0.008547008547008548,0.0015431740147632351
BE,2020,525539,BE,1.0,11.7,0.008547008547008548,0.0013473855982998246
BE,2021,530860,BE,1.0,11.7,0.008547008547008548,0.00136102766628822
BE,2022,545541,BE,1.0,11.7,0.008547008547008548,0.0013986670574059861
BE,2023,770449,BE,1.0,11.7,0.008547008547008548,0.0019752899153526217
BE,2024,756958,BE,1.0,11.7,0.008547008547008548,0.0019407014659575
BE,2025,729513,BE,1.0,11.7,0.008547008547008548,0.001870337520093656
BO,2013,6055,,,,0.0,1.5523909353455096e-05
BO,2014,5979,,,,0.0,1.532905929385764e-05
BO,2015,5712,,,,0.0,1.46445202686929e-05
BO,2016,7508,,,,0.0,1.9249134834969587e-05
BO,2017,8307,,,,0.0,2.1297624277316513e-05
BO,2018,8607,,,,0.0,2.2066769249411727e-05
BO,2019,8895,,,,0.0,2.2805148422623133e-05
BO,2020,6672,,,,0.0,1.7105784179397588e-05
BO,2021,7702,,,,0.0,1.9746515250257828e-05
BO,2022,8565,,,,0.0,2.1959088953318396e-05
BO,2023,10214,,,,0.0,2.618682248326843e-05
BO,2024,10684,,,,0.0,2.739181627288427e-05
BO,2025,12334,,,,0.0,3.162211361940795e-05
BU,2013,15114,,,,0.0,3.8749523694156946e-05
BU,2014,16626,,,,0.0,4.262601435351683e-05
BU,2015,17281,,,,0.0,4.4305314209258056e-05
BU,2016,20397,,,,0.0,5.229416665275369e-05
BU,2017,26008,,,,0.0,6.667974144750787e-05
BU,2018,28729,,,,0.0,7.365588634441147e-05
BU,2019,33073,,,,0.0,8.479310554035018e-05
BU,2020,21038,,,,0.0,5.39375730764638e-05
BU,2021,25521,,,,0.0,6.543116277613997e-05
BU,2022,30116,,,,0.0,7.721189993206502e-05
BU,2023,40278,,,,0.0,0.0001032654039535036
BU,2024,45936,,,,0.0,0.00011777147812721937
BU,2025,54213,,,,0.0,0.00013899218790732636
CR,2013,27805,,,,0.0,7.128691983035821e-05
CR,2014,34044,,,,0.0,8.728257143336503e-05
CR,2015,34900,,,,0.0,8.947719842041005e-05
CR,2016,43081,,,,0.0,0.00011045178180944657
CR,2017,50467,,,,0.0,0.00012938813102243078
CR,2018,60038,,,,0.0,0.0001539264194488418
CR,2019,63254,,,,0.0,0.0001621716535497025
CR,2020,39009,,,,0.0,0.00010001192072154084
CR,2021,36367,,,,0.0,9.323831733395565e-05
CR,2022,45575,,,,0.0,0.00011684594034413146
CR,2023,56185,,,,0.0,0.00014404803419056558
CR,2024,54286,,,,0.0,0.00013917934651720286
CR,2025,60522,,,,0.0,0.00015516730667048873
CY,2013,7139,,,,0.0,1.8303086519292474e-05
CY,2014,8380,,,,0.0,2.1484782887193014e-05
CY,2015,10284,,,,0.0,2.636628964342398e-05
CY,2016,12856,,,,0.0,3.296042587085363e-05
CY,2017,13895,,,,0.0,3.562423129087672e-05
CY,2018,14114,,,,0.0,3.6185707120506226e-05
CY,2019,13711,,,,0.0,3.515248904132499e-05
CY,2020,11703,,,,0.0,3.000434536143435e-05
CY,2021,13763,,,,0.0,3.528580750315483e-05
CY,2022,16231,,,,0.0,4.16133068069248e-05
CY,2023,21552,,,,0.0,5.5255374795320266e-05
CY,2024,23355,,,,0.0,5.9877936077612514e-05
CY,2025,23774,,,,0.0,6.095217522197216e-05
CZ,2013,164660,,,,0.0,0.0004221580370173272
CZ,2014,192981,,,,0.0,0.0004947678861996892
CZ,2015,230043,,,,0.0,0.0005897880560523321
CZ,2016,258064,,,,0.0,0.0006616287602625988
CZ,2017,269998,,,,0.0,0.0006922253472525465
CZ,2018,260256,,,,0.0,0.0006672486461920412
CZ,2019,248345,,,,0.0,0.0006367110269832874
CZ,2020,216434,,,,0.0,0.0005548970763015194
CZ,2021,212469,,,,0.0,0.0005447315435869943
CZ,2022,198874,,,,0.0,0.0005098764572682128
CZ,2023,256011,,,,0.0,0.0006563652448368939
CZ,2024,236053,,,,0.0,0.0006051965936599729
CZ,2025,254806,,,,0.0,0.0006532758458656448
DE,2013,181175,DE,1.0,83.2,0.001201923076923077,0.0004644994677311688
DE,2014,190052,DE,1.0,83.2,0.001201923076923077,0.0004872584674554662
DE,2015,208324,DE,1.0,83.2,0.001201923076923077,0.0005341045238892122
DE,2016,224306,DE,1.0,83.2,0.001201923076923077,0.0005750794403692979
DE,2017,222785,DE,1.0,83.2,0.001201923076923077,0.0005711798753607752
DE,2018,223145,DE,1.0,83.2,0.001201923076923077,0.0005721028493272894
DE,2019,235001,DE,1.0,83.2,0.001201923076923077,0.0006024994586244923
DE,2020,241945,DE,1.0,83.2,0.001201923076923077,0.0006203026009119229
DE,2021,262068,DE,1.0,83.2,0.001201923076923077,0.0006718942818234963
DE,2022,235805,DE,1.0,83.2,0.001201923076923077,0.0006045607671497074
DE,2023,284260,DE,1.0,83.2,0.001201923076923077,0.000728790499225953
DE,2024,300368,DE,1.0,83.2,0.001201923076923077,0.0007700884565943188
DE,2025,343785,DE,1.0,83.2,0.001201923076923077,0.000881401680772512
ES,2013,20015,ES,1.0,48.6,0.00205761316872428,5.1314788721619114e-05
ES,2014,21770,ES,1.0,48.6,0.00205761316872428,5.5814286808376126e-05
ES,2015,21445,ES,1.0,48.6,0.00205761316872428,5.4981046421939644e-05
ES,2016,23824,ES,1.0,48.6,0.00205761316872428,6.10803660506547e-05
ES,2017,26834,ES,1.0,48.6,0.00205761316872428,6.879745393734336e-05
ES,2018,27967,ES,1.0,48.6,0.00205761316872428,7.170225811528963e-05
ES,2019,30472,ES,1.0,48.6,0.00205761316872428,7.812461863228467e-05
ES,2020,22481,ES,1.0,48.6,0.00205761316872428,5.763716039224178e-05
ES,2021,29686,ES,1.0,48.6,0.00205761316872428,7.61094588053952e-05
ES,2022,28466,ES,1.0,48.6,0.00205761316872428,7.298160258554133e-05
ES,2023,34124,ES,1.0,48.6,0.00205761316872428,8.748767675925708e-05
ES,2024,40050,ES,1.0,48.6,0.00205761316872428,0.00010268085377471125
ES,2025,22182,ES,1.0,48.6,0.00205761316872428,5.687057923672022e-05
EU,2013,9659611,,,,0.0,0.024765470776818784
EU,2014,10140897,,,,0.0,0.02599939980028484
EU,2015,11154082,,,,0.0,0.028597020295459144
EU,2016,12035919,,,,0.0,0.030857888611317573
EU,2017,12879579,,,,0.0,0.03302087810184374
EU,2018,13152403,,,,0.0,0.03372034879473342
EU,2019,13485850,,,,0.0,0.03457524573976753
EU,2020,10669943,,,,0.0,0.02735577670330846
EU,2021,10766895,,,,0.0,0.027604343847757045
EU,2022,13073729,,,,0.0,0.03351864308961802
EU,2023,15704000,,,,0.0,0.04026217547261087
EU,2024,16169926,,,,0.0,0.041456724273505656
EU,2025,17467844,,,,0.0,0.044784347953145245
FI,2013,103500,,,,0.0,0.00026535501537284926
FI,2014,108992,,,,0.0,0.000279435495995339
FI,2015,112323,,,,0.0,0.00028797556900216954
FI,2016,125111,,,,0.0,0.00032076165534601495
FI,2017,130156,,,,0.0,0.0003336961099600828
FI,2018,138068,,,,0.0,0.0003539810266908073
FI,2019,137638,,,,0.0,0.0003528785855641375
FI,2020,132621,,,,0.0,0.0003400159178141318
FI,2021,156891,,,,0.0,0.00040223974605663475
FI,2022,138111,,,,0.0,0.00035409127080347427
FI,2023,155397,,,,0.0,0.0003984094040956006
FI,2024,133333,,,,0.0,0.00034184135521457115
FI,2025,132729,,,,0.0,0.0003402928100040861
FR,2013,1812464,FR,1.0,68.0,0.0014705882352941176,0.004646825242345274
FR,2014,1819600,FR,1.0,68.0,0.0014705882352941176,0.004665120637414846
FR,2015,1963995,FR,1.0,68.0,0.0014705882352941176,0.005035322931567141
FR,2016,2064531,FR,1.0,68.0,0.0014705882352941176,0.00529307879461569
FR,2017,2266478,FR,1.0,68.0,0.0014705882352941176,0.0058108338602147315
