freq,unit,power_type,country,year,registrations
Annual,Number,Alternative energy,Albania,2019,3757
Annual,Number,Alternative energy,Albania,2020,372
Annual,Number,Alternative energy,Albania,2021,5703
Annual,Number,Alternative energy,Albania,2022,4114
Annual,Number,Alternative energy,Albania,2023,6088
Annual,Number,Alternative energy,Albania,2024,11047
Annual,Number,Alternative energy,Austria,2013,1285
Annual,Number,Alternative energy,Austria,2014,2074
Annual,Number,Alternative energy,Austria,2015,2389
Annual,Number,Alternative energy,Austria,2016,4317
Annual,Number,Alternative energy,Austria,2017,5868
Annual,Number,Alternative energy,Austria,2018,7406
Annual,Number,Alternative energy,Austria,2019,9841
Annual,Number,Alternative energy,Austria,2020,16393
Annual,Number,Alternative energy,Austria,2021,33466
Annual,Number,Alternative energy,Austria,2022,34242
Annual,Number,Alternative energy,Austria,2023,47642
Annual,Number,Alternative energy,Austria,2024,44635
Annual,Number,Alternative energy,Austria,2025,60653
Annual,Number,Alternative energy,Bosnia and Herzegovina,2013,39
Annual,Number,Alternative energy,Bosnia and Herzegovina,2014,46
Annual,Number,Alternative energy,Bosnia and Herzegovina,2015,49
Annual,Number,Alternative energy,Bosnia and Herzegovina,2016,141
Annual,Number,Alternative energy,Bosnia and Herzegovina,2017,136
Annual,Number,Alternative energy,Bosnia and Herzegovina,2018,101
Annual,Number,Alternative energy,Bosnia and Herzegovina,2019,137
Annual,Number,Alternative energy,Bosnia and Herzegovina,2020,73
Annual,Number,Alternative energy,Bosnia and Herzegovina,2021,229
Annual,Number,Alternative energy,Bosnia and Herzegovina,2022,300
Annual,Number,Alternative energy,Bosnia and Herzegovina,2023,333
Annual,Number,Alternative energy,Bosnia and Herzegovina,2024,300
Annual,Number,Alternative energy,Bosnia and Herzegovina,2025,244
Annual,Number,Alternative energy,Belgium,2013,843
Annual,Number,Alternative energy,Belgium,2014,2234
Annual,Number,Alternative energy,Belgium,2015,2146
Annual,Number,Alternative energy,Belgium,2016,4453
Annual,Number,Alternative energy,Belgium,2017,5408
Annual,Number,Alternative energy,Belgium,2018,7931
Annual,Number,Alternative energy,Belgium,2019,12525
Annual,Number,Alternative energy,Belgium,2020,18919
Annual,Number,Alternative energy,Belgium,2021,25866
Annual,Number,Alternative energy,Belgium,2022,40652
Annual,Number,Alternative energy,Belgium,2023,97043
Annual,Number,Alternative energy,Belgium,2024,131433
Annual,Number,Alternative energy,Belgium,2025,147179
Annual,Number,Alternative energy,Bulgaria,2020,303
Annual,Number,Alternative energy,Bulgaria,2021,416
Annual,Number,Alternative energy,Bulgaria,2022,1042
Annual,Number,Alternative energy,Bulgaria,2023,1783
Annual,Number,Alternative energy,Bulgaria,2024,1786
Annual,Number,Alternative energy,Bulgaria,2025,2620
Annual,Number,Alternative energy,Switzerland,2013,2272
Annual,Number,Alternative energy,Switzerland,2014,3012
Annual,Number,Alternative energy,Switzerland,2015,4993
Annual,Number,Alternative energy,Switzerland,2016,4484
Annual,Number,Alternative energy,Switzerland,2017,5704
Annual,Number,Alternative energy,Switzerland,2018,6172
Annual,Number,Alternative energy,Switzerland,2019,14460
Annual,Number,Alternative energy,Switzerland,2020,20378
Annual,Number,Alternative energy,Switzerland,2021,32394
Annual,Number,Alternative energy,Switzerland,2022,40730
Annual,Number,Alternative energy,Switzerland,2023,53031
Annual,Number,Alternative energy,Switzerland,2024,46636
Annual,Number,Alternative energy,Switzerland,2025,52880
Annual,Number,Alternative energy,Cyprus,2013,8
Annual,Number,Alternative energy,Cyprus,2014,1
Annual,Number,Alternative energy,Cyprus,2015,4
Annual,Number,Alternative energy,Cyprus,2016,7
Annual,Number,Alternative energy,Cyprus,2017,18
Annual,Number,Alternative energy,Cyprus,2018,5
Annual,Number,Alternative energy,Cyprus,2019,58
Annual,Number,Alternative energy,Cyprus,2020,42
Annual,Number,Alternative energy,Cyprus,2021,80
Annual,Number,Alternative energy,Cyprus,2022,403
Annual,Number,Alternative energy,Cyprus,2023,788
Annual,Number,Alternative energy,Cyprus,2024,1193
Annual,Number,Alternative energy,Cyprus,2025,1474
Annual,Number,Alternative energy,Czechia,2020,5870
Annual,Number,Alternative energy,Czechia,2021,6726
Annual,Number,Alternative energy,Czechia,2022,8584
Annual,Number,Alternative energy,Czechia,2023,10661
Annual,Number,Alternative energy,Czechia,2024,15523
Annual,Number,Alternative energy,Czechia,2025,19517
Annual,Number,Alternative energy,Germany,2013,46534
Annual,Number,Alternative energy,Germany,2014,50482
Annual,Number,Alternative energy,Germany,2015,56202
Annual,Number,Alternative energy,Germany,2016,65703
